VAL
VM
VPL
VPLpc
VPM
VPMpc
SPFm
SPFp
SPA
PP
MG
LGd
LP
PO
POL
SGN
AV
AM
AD
IAM
IAD
LD
IMD
MD
SMT
PR
PVT
PT
RE
RH
CM
PCN
CL
PF
IGL
LGv
SubG
MH
LH
